timestamp,src_ip,dst_ip,protocol,reconstruction_error,threshold,is_anomaly,attack_type,severity,confidence,risk_score,hint
2026-05-06 09:24:10.027103,45.33.32.156,192.168.1.5,TCP,38708180.170715,0.05,True,PortScan,HIGH,0.726,0.887,Port scan on port 26816; Unusual port usage
2026-05-06 09:02:17.027726,91.108.4.1,192.168.1.2,ICMP,22516.182837,0.05,True,ICMP,CRITICAL,0.974,0.595,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 09:40:43.027819,104.16.0.1,192.168.1.7,TCP,43425796.473412,0.05,True,Probe,MEDIUM,0.753,0.835,Maximum-size HTTPS packet; possible covert channel
2026-05-06 10:07:14.027893,203.0.113.5,192.168.1.4,TCP,27818694.260711,0.05,True,PortScan,HIGH,0.753,0.908,Port scan on port 19987; Unusual port usage
2026-05-06 09:39:32.027998,45.33.32.156,192.168.1.14,TCP,27563916.451854,0.05,True,BruteForce,HIGH,0.742,0.654,Repeated auth attempts on port 23
2026-05-06 10:21:04.028063,91.108.4.1,192.168.1.15,TCP,26201988.177753,0.05,True,Probe,MEDIUM,0.927,0.879,Maximum-size HTTPS packet; possible covert channel
2026-05-06 08:50:42.028121,185.220.101.1,192.168.1.9,TCP,42784076.442591,0.05,True,Probe,MEDIUM,0.845,0.98,Maximum-size HTTPS packet; possible covert channel
2026-05-06 09:49:45.028177,52.94.133.2,192.168.1.14,TCP,12648667.368736,0.05,True,DoS,CRITICAL,0.734,0.895,SYN flood; Unusual TTL; Unusual port usage
2026-05-06 09:02:35.028248,45.33.32.156,192.168.1.1,TCP,40835420.14599,0.05,True,BruteForce,HIGH,0.79,0.594,Repeated auth attempts on port 3389
2026-05-06 09:38:33.028317,203.0.113.5,192.168.1.11,TCP,44268188.102818,0.05,True,DoS,CRITICAL,0.786,0.767,SYN flood; Unusual TTL; Unusual port usage
2026-05-06 09:52:12.028373,198.51.100.7,192.168.1.19,TCP,27744846.130974,0.05,True,Probe,MEDIUM,0.705,0.47,Maximum-size HTTPS packet; possible covert channel
2026-05-06 10:16:40.028435,104.16.0.1,192.168.1.11,TCP,22448942.428089,0.05,True,DoS,CRITICAL,0.849,0.406,SYN flood; Unusual TTL; Unusual port usage
2026-05-06 09:43:54.028496,198.51.100.7,192.168.1.12,ICMP,14743.442612,0.05,True,ICMP,CRITICAL,0.74,0.645,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 10:24:33.028582,172.217.14.196,192.168.1.10,TCP,22875236.443639,0.05,True,BruteForce,HIGH,0.741,0.935,Repeated auth attempts on port 3389
2026-05-06 10:07:37.028636,45.33.32.156,192.168.1.14,ICMP,26725.181956,0.05,True,ICMP,CRITICAL,0.736,0.871,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 09:12:41.028689,91.108.4.1,192.168.1.19,TCP,50447496.406936,0.05,True,DoS,CRITICAL,0.783,0.686,SYN flood; Unusual TTL; Unusual port usage
2026-05-06 09:18:07.028739,52.94.133.2,192.168.1.3,TCP,89385016.082469,0.05,True,PortScan,HIGH,0.759,0.88,Port scan on port 59861; Unusual port usage
2026-05-06 09:29:47.028790,91.108.4.1,192.168.1.13,TCP,41784008.103893,0.05,True,PortScan,HIGH,0.932,0.749,Port scan on port 26979; Unusual port usage
2026-05-06 09:22:34.028841,91.108.4.1,192.168.1.5,ICMP,20391.85326,0.05,True,ICMP,CRITICAL,0.909,0.596,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 10:17:04.028893,172.217.14.196,192.168.1.12,TCP,27223128.079999,0.05,True,PortScan,HIGH,0.91,0.456,Port scan on port 21375; Unusual port usage
2026-05-06 09:43:27.028944,104.16.0.1,192.168.1.12,TCP,60460324.294382,0.05,True,PortScan,HIGH,0.826,0.833,Port scan on port 54306; Unusual port usage
2026-05-06 09:30:23.028996,45.33.32.156,192.168.1.17,ICMP,15183.607776,0.05,True,ICMP,CRITICAL,0.804,0.425,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 10:08:38.029048,45.33.32.156,192.168.1.2,TCP,92496720.178684,0.05,True,PortScan,HIGH,0.845,0.49,Port scan on port 64744; Unusual port usage
2026-05-06 10:01:56.029101,185.220.101.1,192.168.1.13,ICMP,4725.22878,0.05,True,ICMP,CRITICAL,0.783,0.409,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 09:32:26.029160,203.0.113.5,192.168.1.7,TCP,26181780.370101,0.05,True,BruteForce,HIGH,0.977,0.793,Repeated auth attempts on port 3389
2026-05-06 08:32:38.029235,203.0.113.5,192.168.1.10,TCP,35403768.486797,0.05,True,BruteForce,HIGH,0.957,0.508,Repeated auth attempts on port 3389
2026-05-06 09:11:51.029295,52.94.133.2,192.168.1.5,TCP,28631240.392962,0.05,True,PortScan,HIGH,0.79,0.43,Port scan on port 1171; Unusual port usage
2026-05-06 08:56:39.029352,198.51.100.7,192.168.1.12,TCP,42070560.426644,0.05,True,Probe,MEDIUM,0.893,0.917,Maximum-size HTTPS packet; possible covert channel
2026-05-06 09:50:25.029403,198.51.100.7,192.168.1.15,TCP,35945680.082285,0.05,True,Probe,MEDIUM,0.72,0.835,Maximum-size HTTPS packet; possible covert channel
2026-05-06 09:53:59.029456,104.16.0.1,192.168.1.17,ICMP,11554.55534,0.05,True,ICMP,CRITICAL,0.831,0.556,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 08:51:52.029515,198.51.100.7,192.168.1.1,TCP,35252852.262558,0.05,True,BruteForce,HIGH,0.913,0.73,Repeated auth attempts on port 3389
