timestamp,src_ip,dst_ip,protocol,reconstruction_error,threshold,is_anomaly,attack_type,severity,confidence,risk_score,hint
2026-05-06 10:10:28.441712,198.51.100.7,192.168.1.13,ICMP,11085.79534,0.05,True,ICMP,CRITICAL,0.88,0.425,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 10:19:16.442346,45.33.32.156,192.168.1.15,TCP,39318164.360601,0.05,True,Probe,MEDIUM,0.884,0.834,Maximum-size HTTPS packet; possible covert channel
2026-05-06 09:25:56.442438,198.51.100.7,192.168.1.6,TCP,43905164.473238,0.05,True,DoS,CRITICAL,0.873,0.988,SYN flood; Unusual TTL; Unusual port usage
2026-05-06 08:51:57.442510,52.94.133.2,192.168.1.12,TCP,975468.108432,0.05,True,DoS,CRITICAL,0.953,0.633,SYN flood; Unusual TTL; Unusual port usage
2026-05-06 08:29:47.442603,104.16.0.1,192.168.1.11,TCP,27563916.372955,0.05,True,BruteForce,HIGH,0.97,0.632,Repeated auth attempts on port 21
2026-05-06 09:06:55.442663,185.220.101.1,192.168.1.8,TCP,67720104.099798,0.05,True,PortScan,HIGH,0.922,0.51,Port scan on port 57907; Unusual port usage
2026-05-06 10:03:50.442721,203.0.113.5,192.168.1.15,TCP,45321244.077458,0.05,True,PortScan,HIGH,0.86,0.828,Port scan on port 16544; Unusual port usage
2026-05-06 09:00:31.442787,52.94.133.2,192.168.1.2,TCP,31141082.199273,0.05,True,BruteForce,HIGH,0.864,0.777,Repeated auth attempts on port 3389
2026-05-06 09:34:40.442847,198.51.100.7,192.168.1.4,TCP,40689904.287323,0.05,True,BruteForce,HIGH,0.824,0.958,Repeated auth attempts on port 21
2026-05-06 09:36:05.442901,104.16.0.1,192.168.1.3,ICMP,23653.976269,0.05,True,ICMP,CRITICAL,0.824,0.496,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 08:55:43.442955,172.217.14.196,192.168.1.7,ICMP,21262.065865,0.05,True,ICMP,CRITICAL,0.918,0.604,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 09:31:57.443014,45.33.32.156,192.168.1.10,TCP,21919528.165019,0.05,True,BruteForce,HIGH,0.849,0.551,Repeated auth attempts on port 23
2026-05-06 10:23:11.443067,91.108.4.1,192.168.1.11,TCP,35194860.245969,0.05,True,Probe,MEDIUM,0.796,0.433,Maximum-size HTTPS packet; possible covert channel
2026-05-06 09:03:11.443140,185.220.101.1,192.168.1.11,ICMP,10589.030193,0.05,True,ICMP,CRITICAL,0.939,0.847,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 09:40:26.443191,185.220.101.1,192.168.1.11,TCP,22322128.302083,0.05,True,Probe,MEDIUM,0.7,0.567,Maximum-size HTTPS packet; possible covert channel
2026-05-06 09:56:04.443250,91.108.4.1,192.168.1.2,TCP,42980040.173811,0.05,True,BruteForce,HIGH,0.907,0.746,Repeated auth attempts on port 22
2026-05-06 08:38:47.443308,185.220.101.1,192.168.1.9,TCP,29036190.40982,0.05,True,BruteForce,HIGH,0.953,0.537,Repeated auth attempts on port 3389
2026-05-06 10:12:36.443360,198.51.100.7,192.168.1.7,ICMP,10020.700507,0.05,True,ICMP,CRITICAL,0.82,0.644,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 09:59:56.443417,91.108.4.1,192.168.1.5,TCP,27400134.194661,0.05,True,BruteForce,HIGH,0.721,0.697,Repeated auth attempts on port 22
2026-05-06 09:16:07.443468,185.220.101.1,192.168.1.16,TCP,45321620.492635,0.05,True,Probe,MEDIUM,0.855,0.42,Maximum-size HTTPS packet; possible covert channel
2026-05-06 09:46:21.443520,185.220.101.1,192.168.1.8,TCP,34883972.071855,0.05,True,Probe,MEDIUM,0.702,0.805,Maximum-size HTTPS packet; possible covert channel
2026-05-06 08:52:35.443661,45.33.32.156,192.168.1.7,TCP,42594984.143701,0.05,True,PortScan,HIGH,0.706,0.91,Port scan on port 39496; Unusual port usage
2026-05-06 09:15:02.443771,104.16.0.1,192.168.1.1,TCP,34270320.462807,0.05,True,DoS,CRITICAL,0.861,0.495,SYN flood; Unusual TTL; Unusual port usage
2026-05-06 08:41:54.443854,185.220.101.1,192.168.1.6,TCP,37255468.258436,0.05,True,BruteForce,HIGH,0.945,0.959,Repeated auth attempts on port 23
2026-05-06 10:21:11.443917,185.220.101.1,192.168.1.10,TCP,62908428.472076,0.05,True,PortScan,HIGH,0.862,0.912,Port scan on port 44930; Unusual port usage
2026-05-06 10:02:29.444009,198.51.100.7,192.168.1.3,TCP,1700118.308968,0.05,True,DoS,CRITICAL,0.781,0.767,SYN flood; Unusual TTL; Unusual port usage
2026-05-06 09:21:40.444075,198.51.100.7,192.168.1.1,TCP,30215548.457212,0.05,True,DoS,CRITICAL,0.963,0.41,SYN flood; Unusual TTL; Unusual port usage
2026-05-06 08:51:04.444139,104.16.0.1,192.168.1.4,TCP,41635772.391052,0.05,True,BruteForce,HIGH,0.73,0.461,Repeated auth attempts on port 21
2026-05-06 08:56:17.444198,172.217.14.196,192.168.1.8,TCP,1038029.595228,0.05,True,DoS,CRITICAL,0.881,0.923,SYN flood; Unusual TTL; Unusual port usage
2026-05-06 09:54:18.444265,104.16.0.1,192.168.1.16,TCP,40751368.315072,0.05,True,PortScan,HIGH,0.941,0.494,Port scan on port 31013; Unusual port usage
2026-05-06 09:55:54.444324,198.51.100.7,192.168.1.11,TCP,27556540.319501,0.05,True,BruteForce,HIGH,0.961,0.881,Repeated auth attempts on port 21
2026-05-06 09:55:29.444376,172.217.14.196,192.168.1.18,TCP,462378.00985,0.05,True,DoS,CRITICAL,0.967,0.718,SYN flood; Unusual TTL; Unusual port usage
2026-05-06 08:50:08.444427,198.51.100.7,192.168.1.13,TCP,89169232.375774,0.05,True,PortScan,HIGH,0.816,0.809,Port scan on port 58713; Unusual port usage
2026-05-06 08:55:37.444485,172.217.14.196,192.168.1.10,TCP,43585492.219656,0.05,True,BruteForce,HIGH,0.939,0.448,Repeated auth attempts on port 21
2026-05-06 10:10:20.444536,45.33.32.156,192.168.1.4,TCP,399116.351325,0.05,True,DoS,CRITICAL,0.907,0.473,SYN flood; Unusual TTL; Unusual port usage
2026-05-06 09:36:43.444587,52.94.133.2,192.168.1.13,TCP,52099628.075664,0.05,True,PortScan,HIGH,0.876,0.787,Port scan on port 39721; Unusual port usage
2026-05-06 10:01:08.444640,45.33.32.156,192.168.1.14,ICMP,17227.15042,0.05,True,ICMP,CRITICAL,0.955,0.638,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 09:20:56.444708,203.0.113.5,192.168.1.13,TCP,26806730.497821,0.05,True,PortScan,HIGH,0.779,0.645,Port scan on port 20242; Unusual port usage
2026-05-06 10:08:37.444760,198.51.100.7,192.168.1.2,TCP,56213148.294539,0.05,True,PortScan,HIGH,0.936,0.903,Port scan on port 32768; Unusual port usage
2026-05-06 10:10:13.444820,91.108.4.1,192.168.1.5,TCP,25214676.301473,0.05,True,BruteForce,HIGH,0.809,0.715,Repeated auth attempts on port 3389
2026-05-06 09:29:12.444874,91.108.4.1,192.168.1.14,ICMP,28542.265226,0.05,True,ICMP,CRITICAL,0.919,0.554,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 10:00:09.444925,45.33.32.156,192.168.1.11,TCP,22720876.06299,0.05,True,DoS,CRITICAL,0.839,0.516,SYN flood; Unusual TTL; Unusual port usage
2026-05-06 10:00:14.444978,185.220.101.1,192.168.1.13,TCP,34137016.496394,0.05,True,Probe,MEDIUM,0.785,0.591,Maximum-size HTTPS packet; possible covert channel
2026-05-06 09:04:06.445031,91.108.4.1,192.168.1.10,TCP,19727548.129891,0.05,True,DoS,CRITICAL,0.914,0.727,SYN flood; Unusual TTL; Unusual port usage
2026-05-06 09:13:56.445088,198.51.100.7,192.168.1.6,ICMP,24841.330802,0.05,True,ICMP,CRITICAL,0.76,0.843,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 09:24:28.445145,52.94.133.2,192.168.1.9,TCP,28176944.310215,0.05,True,Probe,MEDIUM,0.894,0.976,Maximum-size HTTPS packet; possible covert channel
2026-05-06 09:17:52.445205,91.108.4.1,192.168.1.17,TCP,29595418.226796,0.05,True,BruteForce,HIGH,0.841,0.486,Repeated auth attempts on port 21
2026-05-06 10:06:53.445255,198.51.100.7,192.168.1.15,TCP,53057084.079959,0.05,True,PortScan,HIGH,0.938,0.983,Port scan on port 37608; Unusual port usage
2026-05-06 09:48:58.445305,104.16.0.1,192.168.1.1,ICMP,4320.088211,0.05,True,ICMP,CRITICAL,0.792,0.87,IP fragmentation storm; Unusual TTL; ICMP anomaly
2026-05-06 09:56:44.445373,52.94.133.2,192.168.1.10,TCP,26253814.382023,0.05,True,PortScan,HIGH,0.919,0.507,Port scan on port 15357; Unusual port usage
2026-05-06 10:01:42.445424,203.0.113.5,192.168.1.16,TCP,29407754.48869,0.05,True,PortScan,HIGH,0.72,0.59,Port scan on port 22226; Unusual port usage
2026-05-06 09:43:50.445477,203.0.113.5,192.168.1.13,TCP,36624580.487743,0.05,True,Probe,MEDIUM,0.821,0.608,Maximum-size HTTPS packet; possible covert channel
2026-05-06 09:31:01.445530,52.94.133.2,192.168.1.5,TCP,71915944.116973,0.05,True,PortScan,HIGH,0.88,0.833,Port scan on port 61809; Unusual port usage
